day,hour,price_e,price_reg,price_res
1,1,40.97,18.05916667,0
1,2,80.84,25.71541667,0
1,3,34.6,33.37166667,0
1,4,34.37,0,0
1,5,68.22,33.9075,0
1,6,48.4,47.2175,0
1,7,41.52,13.06666667,0
1,8,51.57,31.37083333,0
1,9,43.01,26.4225,0
1,10,33.13,12.19166667,1.17
1,11,27.62,1.108333333,0
1,12,25.98,9.605833333,0
1,13,27.84,75.90333333,0
1,14,30.8,23.25,0
1,15,43.77,4.651666667,6.77
1,16,52.96,18.21416667,8.96
1,17,58.81,13.3,6.52
1,18,144.2,32.57,76.07
1,19,75.08,51.615,2.67
1,20,64.46,60.59333333,0.99
1,21,59.15,114.69,0.11
1,22,42.09,26.1875,1.04
1,23,36.18,19.54166667,0.53
1,24,31.1,9.915833333,0.33
2,1,27.64,7.178333333,0.24
2,2,20.94,0,0
2,3,20.67,0,0
2,4,20.43,0,0
2,5,21.03,0,0
2,6,19.62,10.27583333,0
2,7,22.6,7.0375,0
2,8,23.14,22.39166667,0
2,9,35.35,3.266666667,0.02
2,10,42.72,0,0
2,11,42.84,22.97583333,0
2,12,37.58,5.105,0.3
2,13,24.38,0,0
2,14,24.44,0,0
2,15,24.14,38.50916667,0
2,16,29.57,3.500833333,0
2,17,52.24,34.96333333,0
2,18,44.05,26.47833333,0
2,19,44.84,21.70666667,0
2,20,50.12,35.2875,0
2,21,46.89,13.28666667,0.21
2,22,43.44,32.99833333,0.31
2,23,24.23,9.855,0
2,24,20.27,8.608333333,0
3,1,309.67,317.48,0
3,2,268.37,234.27,0
3,3,309.29,401.04,0
3,4,305.97,401.04,0
3,5,337.22,401.04,0
3,6,308.84,401.04,0
3,7,359.16,405.99,0
3,8,408.48,405.99,3.25
3,9,434.91,405.99,0
3,10,403.67,405.99,0.04
3,11,407.95,405.99,0.04
3,12,378.13,405.99,0
3,13,374.14,405.99,0
3,14,355.12,44.17,0
3,15,539.3,44.17,0
3,16,599.21,44.17,31.62
3,17,1132.24,44.17,647.9
3,18,2254.35,44.17,1951.6
3,19,658.22,44.17,296.99
3,20,349.63,44.17,4.55
3,21,309.13,44.17,0
3,22,330.87,44.17,0
3,23,402.95,44.17,0
3,24,331.59,44.17,0
